序号, 活动量,光强 ,温度 ,声音强度
0001, -001, 0000, 0000, 0000
0002, -001, 0000, 0000, 0000
0003, -001, 0000, 0000, 0000
0004, -001, 0000, 0000, 0000
0005, -001, 0000, 0000, 0000
0006, -001, 0000, 0000, 0000
0007, -001, 0000, 0000, 0000
0008, -001, 0000, 0000, 0000
0009, -001, 0000, 0000, 0000
0010, -001, 0000, 0000, 0000
0011, -001, 0000, 0000, 0000
0012, -001, 0000, 0000, 0000
0013, -001, 0000, 0000, 0000
0014, -001, 0000, 0000, 0000
0015, -001, 0000, 0000, 0000
0016, -001, 0000, 0000, 0000
0017, -001, 0000, 0000, 0000
0018, -001, 0000, 0000, 0000
0019, -001, 0000, 0000, 0000
0020, -001, 0000, 0000, 0000
0021, -001, 0000, 0000, 0000
0022, -001, 0000, 0000, 0000
0023, -001, 0000, 0000, 0000
0024, -001, 0000, 0000, 0000
0025, -001, 0000, 0000, 0000
0026, -001, 0000, 0000, 0000
0027, -001, 0000, 0000, 0000
0028, -001, 0000, 0000, 0000
0029, -001, 0000, 0000, 0000
0030, -001, 0000, 0000, 0000
0031, -001, 0000, 0000, 0000
0032, -001, 0000, 0000, 0000
0033, -001, 0000, 0000, 0000
0034, -001, 0000, 0000, 0000
0035, -001, 0000, 0000, 0000
0036, -001, 0000, 0000, 0000
0037, -001, 0000, 0000, 0000
0038, -001, 0000, 0000, 0000
0039, -001, 0000, 0000, 0000
0040, -001, 0000, 0000, 0000
0041, -001, 0000, 0000, 0000
0042, -001, 0000, 0000, 0000
0043, -001, 0000, 0000, 0000
0044, -001, 0000, 0000, 0000
0045, -001, 0000, 0000, 0000
0046, -001, 0000, 0000, 0000
0047, -001, 0000, 0000, 0000
0048, -001, 0000, 0000, 0000
0049, -001, 0000, 0000, 0000
0050, -001, 0000, 0000, 0000
0051, -001, 0000, 0000, 0000
0052, -001, 0000, 0000, 0000
0053, -001, 0000, 0000, 0000
0054, -001, 0000, 0000, 0000
0055, -001, 0000, 0000, 0000
0056, -001, 0000, 0000, 0000
0057, -001, 0000, 0000, 0000
0058, -001, 0000, 0000, 0000
0059, -001, 0000, 0000, 0000
0060, -001, 0000, 0000, 0000
0061, -001, 0000, 0000, 0000
0062, -001, 0000, 0000, 0000
0063, -001, 0000, 0000, 0000
0064, -001, 0000, 0000, 0000
0065, -001, 0000, 0000, 0000
0066, -001, 0000, 0000, 0000
0067, -001, 0000, 0000, 0000
0068, -001, 0000, 0000, 0000
0069, -001, 0000, 0000, 0000
0070, -001, 0000, 0000, 0000
0071, -001, 0000, 0000, 0000
0072, -001, 0000, 0000, 0000
0073, -001, 0000, 0000, 0000
0074, -001, 0000, 0000, 0000
0075, -001, 0000, 0000, 0000
0076, -001, 0000, 0000, 0000
0077, -001, 0000, 0000, 0000
0078, -001, 0000, 0000, 0000
0079, -001, 0000, 0000, 0000
0080, -001, 0000, 0000, 0000
0081, -001, 0000, 0000, 0000
0082, -001, 0000, 0000, 0000
0083, -001, 0000, 0000, 0000
0084, -001, 0000, 0000, 0000
0085, -001, 0000, 0000, 0000
0086, -001, 0000, 0000, 0000
0087, -001, 0000, 0000, 0000
0088, -001, 0000, 0000, 0000
0089, -001, 0000, 0000, 0000
0090, -001, 0000, 0000, 0000
0091, -001, 0000, 0000, 0000
0092, -001, 0000, 0000, 0000
0093, -001, 0000, 0000, 0000
0094, -001, 0000, 0000, 0000
0095, -001, 0000, 0000, 0000
0096, -001, 0000, 0000, 0000
0097, -003, -003, -003, -003
0098, -001, 0000, 0000, 0000
0099, 0259, 0000, 0026, 0132
