序号, 活动量,光强 ,温度 ,声音强度
0001, 0265, 0000, 0026, 0068
0002, 0265, 0000, 0026, 0068
0003, 0247, 0000, 0026, 0068
0004, 0224, 0004, 0026, 0067
0005, 0253, 0004, 0026, 0067
0006, 0255, 0001, 0026, 0067
0007, 0250, 0001, 0026, 0067
0008, 0250, 0003, 0026, 0067
0009, 0259, 0003, 0026, 0067
0010, 0255, 0003, 0026, 0066
0011, 0261, 0003, 0026, 0066
0012, 0230, 0002, 0026, 0065
0013, 0254, 0002, 0026, 0065
0014, 0254, 0004, 0026, 0064
0015, 0254, 0004, 0026, 0064
0016, 0255, 0003, 0026, 0068
0017, 0255, 0003, 0026, 0068
0018, 0231, 0042, 0026, 0067
0019, 0256, 0042, 0026, 0067
0020, 0254, 0005, 0026, 0068
0021, 0231, 0005, 0026, 0068
0022, 0237, 0003, 0026, 0068
0023, 0243, 0003, 0026, 0068
0024, 0256, 0000, 0026, 0068
0025, 0251, 0000, 0026, 0068
0026, 0000, 0000, 0026, 0068
0027, 0000, 0000, 0026, 0068
0028, -002, -002, -002, -002
0029, -001, 0000, 0000, 0000
0030, -001, 0000, 0000, 0000
0031, -001, 0000, 0000, 0000
0032, -001, 0000, 0000, 0000
0033, -001, 0000, 0000, 0000
0034, -001, 0000, 0000, 0000
0035, -001, 0000, 0000, 0000
0036, -001, 0000, 0000, 0000
0037, -001, 0000, 0000, 0000
0038, -001, 0000, 0000, 0000
0039, -001, 0000, 0000, 0000
0040, -001, 0000, 0000, 0000
0041, -001, 0000, 0000, 0000
0042, -001, 0000, 0000, 0000
0043, -001, 0000, 0000, 0000
0044, -001, 0000, 0000, 0000
0045, -003, -003, -003, -003
0046, -001, 0000, 0000, 0000
0047, 0000, 0001, 0026, 0067
0048, 0259, 0001, 0026, 0069
0049, 0258, 0001, 0026, 0069
0050, 0000, 0000, 0026, 0067
0051, 0000, 0000, 0026, 0067
0052, -002, -002, -002, -002
0053, -001, 0000, 0000, 0000
0054, -001, 0000, 0000, 0000
0055, -001, 0000, 0000, 0000
0056, -001, 0000, 0000, 0000
0057, -001, 0000, 0000, 0000
0058, -001, 0000, 0000, 0000
0059, -001, 0000, 0000, 0000
0060, -001, 0000, 0000, 0000
0061, -001, 0000, 0000, 0000
0062, -001, 0000, 0000, 0000
0063, -001, 0000, 0000, 0000
0064, -001, 0000, 0000, 0000
0065, -001, 0000, 0000, 0000
0066, -001, 0000, 0000, 0000
0067, -001, 0000, 0000, 0000
0068, -001, 0000, 0000, 0000
0069, -001, 0000, 0000, 0000
0070, -001, 0000, 0000, 0000
0071, -001, 0000, 0000, 0000
0072, -001, 0000, 0000, 0000
0073, -001, 0000, 0000, 0000
0074, -001, 0000, 0000, 0000
0075, -003, -003, -003, -003
0076, 0222, 0000, 0026, 0069
0077, 0261, 0000, 0026, 0069
0078, 0261, 0026, 0026, 0066
0079, 0268, 0026, 0026, 0066
0080, 0270, 0009, 0026, 0067
0081, 0310, 0009, 0026, 0067
0082, 0259, 0000, 0026, 0067
0083, 0000, 0000, 0026, 0067
0084, 0000, 0000, 0026, 0068
0085, 0000, 0000, 0026, 0068
0086, -002, -002, -002, -002
0087, -001, 0000, 0000, 0000
0088, -001, 0000, 0000, 0000
0089, -001, 0000, 0000, 0000
0090, -001, 0000, 0000, 0000
0091, -001, 0000, 0000, 0000
0092, -001, 0000, 0000, 0000
0093, -001, 0000, 0000, 0000
0094, -001, 0000, 0000, 0000
0095, -001, 0000, 0000, 0000
0096, -001, 0000, 0000, 0000
0097, -001, 0000, 0000, 0000
0098, -001, 0000, 0000, 0000
0099, -001, 0000, 0000, 0000
0100, -001, 0000, 0000, 0000
0101, -001, 0000, 0000, 0000
0102, -001, 0000, 0000, 0000
0103, -001, 0000, 0000, 0000
0104, -001, 0000, 0000, 0000
0105, -003, -003, -003, -003
0106, 0000, 0000, 0026, 0068
0107, 0255, 0000, 0026, 0067
0108, 0256, 0000, 0026, 0067
0109, 0233, 0002, 0026, 0066
0110, 0256, 0002, 0026, 0066
0111, 0000, 0005, 0026, 0067
0112, 0000, 0005, 0026, 0067
0113, 0000, 0006, 0026, 0064
0114, 0000, 0006, 0026, 0064
0115, 0254, 0006, 0026, 0068
0116, 0000, 0006, 0026, 0068
0117, 0000, 0005, 0026, 0067
0118, 0000, 0005, 0026, 0067
0119, 0259, 0005, 0026, 0067
0120, 0249, 0005, 0026, 0067
0121, 0253, 0005, 0026, 0067
0122, 0000, 0005, 0026, 0067
0123, 0250, 0005, 0026, 0066
0124, 0260, 0005, 0026, 0066
0125, 0257, 0000, 0026, 0066
0126, 0000, 0000, 0026, 0066
0127, 0000, 0000, 0026, 0067
0128, -002, -002, -002, -002
0129, -001, 0000, 0000, 0000
0130, -001, 0000, 0000, 0000
0131, -001, 0000, 0000, 0000
0132, -001, 0000, 0000, 0000
0133, -001, 0000, 0000, 0000
0134, -001, 0000, 0000, 0000
0135, -001, 0000, 0000, 0000
0136, -001, 0000, 0000, 0000
0137, -001, 0000, 0000, 0000
0138, -001, 0000, 0000, 0000
0139, -001, 0000, 0000, 0000
0140, -001, 0000, 0000, 0000
0141, -001, 0000, 0000, 0000
0142, -001, 0000, 0000, 0000
0143, -001, 0000, 0000, 0000
0144, -001, 0000, 0000, 0000
0145, -001, 0000, 0000, 0000
0146, -001, 0000, 0000, 0000
0147, -001, 0000, 0000, 0000
0148, -001, 0000, 0000, 0000
0149, -001, 0000, 0000, 0000
0150, -001, 0000, 0000, 0000
0151, -001, 0000, 0000, 0000
0152, -001, 0000, 0000, 0000
0153, -001, 0000, 0000, 0000
0154, -001, 0000, 0000, 0000
0155, -001, 0000, 0000, 0000
0156, -001, 0000, 0000, 0000
0157, -001, 0000, 0000, 0000
0158, -001, 0000, 0000, 0000
0159, -001, 0000, 0000, 0000
0160, -001, 0000, 0000, 0000
0161, -001, 0000, 0000, 0000
0162, -001, 0000, 0000, 0000
0163, -001, 0000, 0000, 0000
0164, -001, 0000, 0000, 0000
0165, -001, 0000, 0000, 0000
0166, -001, 0000, 0000, 0000
0167, -001, 0000, 0000, 0000
0168, -001, 0000, 0000, 0000
0169, -001, 0000, 0000, 0000
0170, -001, 0000, 0000, 0000
0171, -001, 0000, 0000, 0000
0172, -001, 0000, 0000, 0000
0173, -001, 0000, 0000, 0000
0174, -001, 0000, 0000, 0000
0175, -001, 0000, 0000, 0000
0176, -001, 0000, 0000, 0000
0177, -001, 0000, 0000, 0000
0178, -001, 0000, 0000, 0000
0179, -001, 0000, 0000, 0000
0180, -001, 0000, 0000, 0000
0181, -001, 0000, 0000, 0000
0182, -001, 0000, 0000, 0000
0183, -001, 0000, 0000, 0000
0184, -001, 0000, 0000, 0000
0185, -001, 0000, 0000, 0000
0186, -001, 0000, 0000, 0000
0187, -001, 0000, 0000, 0000
0188, -001, 0000, 0000, 0000
0189, -001, 0000, 0000, 0000
0190, -001, 0000, 0000, 0000
0191, -001, 0000, 0000, 0000
